Age	Expression
74	0.228342145
65	2.293392337
55	4.330165274
57	4.295806384
33	3.092767488
58	1.3525887
57	1.456148595
67	3.814127202
66	0.162722875
55	4.0769677
63	1.04160773
54	3.412380721
80	4.995438443
52	1.987294948
36	2.893490988
29	3.008050415
58	1.667144319
55	2.563963124
49	5.087776885
54	2.994833646
38	3.358679218
79	0.354896268
34	3.628732064
79	4.751999889
32	1.76105474
32	3.94094156
46	1.439557231
70	3.071087545
56	1.655117565
30	3.412943639
30	3.709756001
42	2.685815201
77	1.772769506
29	2.036575541
51	1.482422688
64	1.736453127
69	1.3953197
51	2.441482293
52	3.442956019
78	1.969924471
36	1.89640579
46	1.157926867
59	2.217368896
48	3.201773143
45	2.395934295
51	1.858326804
39	1.770891625
33	3.508723073
47	1.698744661
51	0.731074749
30	3.234072563
28	2.745403478
31	2.620969135
51	1.485554962
41	3.398983486
27	3.233743048
34	1.854673785
37	2.175658946
32	3.787347154
65	2.75192466
30	4.163768876
60	1.493171121
44	3.277573231
49	2.667550782
61	1.570819682
28	3.511671388
52	0.944397378
79	1.756739246
43	1.904439547
71	1.753619506
34	2.2410716
58	3.826120171
36	1.484146676
85	1.804196311
28	2.880206072
56	2.185310469
52	2.380972417
50	0.59404554
19	3.098139011
37	3.998722481
60	0.50863633
21	2.788554469
45	1.477370162
51	2.6121727
20	3.219105594
62	0.970531985
61	1.092760475
62	4.838373583
58	1.856094789
63	2.255590431
70	3.229671212
42	2.610839566
42	3.969836803
69	1.399588642
43	3.590059982
70	3.654760721
54	2.107755355
47	1.598596741
26	2.818917509
27	3.536683857
40	2.488457533
70	1.349189664
52	2.671561399
53	2.906414312
65	2.615571771
55	2.765676188
46	2.556116416
63	0.514222829
57	2.2883355
44	1.589662934
57	3.272575003
61	2.019135333
53	2.697131329
51	2.864507009
38	3.743463152
52	2.985450101
47	0
65	2.503100153
56	0.969999233
53	2.763666727
70	1.221811478
35	4.215885503
45	1.971890313
51	2.970183635
63	2.395925153
38	4.913208605
45	1.23943571
51	2.451063214
37	3.588370137
43	2.303829796
49	2.491814259
18	3.390601857
50	1.541583341
46	2.282994535
32	2.543309637
70	3.036354732
56	1.239209443
44	2.460298832
57	2.161562597
60	2.201640792
76	0.420009454
54	1.973288317
44	2.096620062
28	2.19662783
50	2.012547868
39	3.742785307
52	1.797077285
32	2.012042755
50	2.11215112
60	1.240759662
40	2.882907587
22	2.9012839
38	2.081874229
68	3.017799233
68	1.49387138
15	3.024605057
60	2.773175521
36	1.728705169
32	2.568311355
34	2.132930556
36	2.939712721
38	3.398941551
48	1.808182888
55	2.929439288
23	4.094718718
30	3.0742691
49	2.947283585
37	2.263805454
55	3.022685461
34	4.293791287
46	2.312773855
34	2.016138903
49	1.836206628
57	2.220965393
56	1.357287448
52	1.915680074
18	4.179442614
57	1.153022643
38	2.604792503
45	2.795912047
39	1.744235245
51	2.73207224
38	1.71182647
75	0.261647587
30	2.301273687
57	4.082927084
25	1.675119852
56	2.374140992
53	1.411729524
57	1.023015245
23	1.883760014
50	0.799436955
23	2.6392019
70	2.995500356
64	0.974803261
47	1.747438683
88	2.289565303
50	2.03127579
78	1.736594598
62	1.08378307
78	0.291629589
70	0.729304954
40	2.476056503
87	2.388167835
22	2.452737172
28	3.31210757
37	4.496278388
61	5.673433365
39	1.592641772
62	2.420807088
44	5.267033352
51	1.520239373
31	5.070534305
70	2.866786377
72	1.632598013
31	4.733767582
37	1.337706988
72	0.313074286
65	2.351675773
37	4.977221053
41	2.108920639
40	3.213979553
34	4.287455969
66	2.916632559
58	4.344756141
19	3.557443823
46	2.662051332
57	0.920632955
36	3.402980716
35	2.796685386
55	3.229021899
66	2.724593327
81	3.206252043
66	1.440454872
24	5.090352118
53	3.6139789
45	2.729318097
38	3.118184761
55	3.723227706
63	2.872237723
34	3.225050719
47	2.611770261
36	3.292002458
69	2.519278726
42	3.878350839
47	4.063689376
15	2.35808448
42	2.250650162
41	2.73099244
34	3.945985308
60	0.898758762
28	2.539259731
79	2.14949571
19	3.658413459
78	1.045583586
46	2.753763458
22	1.765092347
35	3.249106938
41	2.9166359
38	2.971201259
31	1.873305103
55	2.119805711
54	2.649940551
68	0.619141585
43	2.974060992
33	1.642782926
75	2.588183964
74	1.790465938
68	2.856387369
41	2.574050847
35	2.243571084
36	1.337249346
63	2.06316224
55	3.247726747
76	2.926188307
31	5.619385216
32	4.366946855
39	5.338273241
74	1.310782809
73	0.997062204
71	1.34652801
53	2.24638282
47	2.412689799
52	1.937875663
56	2.946759488
46	4.104163124
33	4.519456587
52	1.984594377
68	1.091812979
75	0.257154448
64	3.375926304
36	1.074154956
49	2.384231998
28	3.263806008
31	4.025828233
62	1.689575619
62	1.942967861
77	1.43742909
26	3.210395381
40	2.821793429
46	1.544428284
51	2.731519325
20	3.272071599
47	2.872136256
64	2.202327704
37	3.254874757
46	2.065686896
46	2.497322801
66	1.107448424
33	4.590928201
33	1.782906699
46	4.255641927
47	2.000513938
67	2.960763174
39	3.645595859
62	1.80785399
45	4.404785325
36	3.72483086
61	2.645468889
31	4.693211984
85	1.141846487
41	3.794550913
24	2.402944519
30	3.881285405
63	1.670727477
57	0.881902644
42	2.770763616
40	2.282635105
71	2.167440644
19	1.92912882
55	4.650575027
83	1.279533463
54	1.636274042
46	2.296984501
33	2.768061393
40	0
55	2.41283643
33	2.549420854
62	1.308472428
43	2.364017385
28	2.763427473
36	1.595136843
42	2.451624316
40	1.964966041
69	2.411988422
33	3.444587044
59	1.099937766
49	1.159138572
72	2.024280115
42	1.281997308
28	2.118486978
35	2.504646594
64	2.729798235
26	2.67901739
56	1.215114904
37	1.875036846
40	0
36	2.934347462
52	2.838357856
33	2.195399468
28	4.014460228
35	0.936760812
24	2.772658089
51	1.879479544
27	2.02919862
72	0.632709276
39	3.468050075
51	1.033669924
47	0
34	3.730741416
53	1.652906161
46	2.179408264
83	1.817459546
23	4.42027333
48	1.461086492
20	3.623820582
34	2.217977557
35	2.24517451
39	1.82507957
73	0.509334296
24	3.536482839
27	2.712162422
55	2.750796586
33	3.269415924
44	2.607995206
34	3.869248949
27	3.417593833
42	1.872386149
60	2.287740151
28	4.145391663
47	1.973018729
30	3.047403941
24	3.996570348
33	2.099640228
43	3.849258841
43	4.573065333
42	3.429413797
33	5.241175718
23	0
21	2.111450247
68	3.90216168
64	2.820155093
32	2.681751805
38	1.061163889
24	2.422482095
62	1.952495152
26	3.1367333
51	0.545299846
45	2.75009654
61	1.375273974
30	3.803455967
70	1.748489375
44	1.906536218
18	2.987785353
26	2.339507892
26	2.341250435
33	1.750538985
19	3.113347932
36	1.84843872
82	4.289169715
27	2.303699999
16	2.33158017
33	1.512031764
37	1.34442013
17	3.542899177
43	2.522885362
28	2.727319883
61	3.643791889
31	4.503078607
21	2.547457918
50	1.391616115
51	2.350796211
61	5.988527165
29	1.862400183
34	1.612954749
64	1.667686698
48	5.220166167
48	2.029404285
69	2.575228749
20	3.631933622
57	2.958289067
50	3.773103228
62	1.652645775
66	1.426990801
21	3.609008116
61	3.885090524
66	2.979694687
52	5.99669003
64	1.2464349
46	2.495529508
55	2.505138487
51	5.227858868
55	1.797126751
76	3.675854023
51	2.30250985
62	2.093456778
54	1.672640559
33	3.550340553
54	2.01740441
25	3.925101798
41	2.829473269
29	1.556268615
34	1.900601486
40	3.064231316
32	2.940297735
58	5.105882771
89	0.157788921
55	1.735258493
42	1.061627035
37	2.704691934
39	2.103410434
37	2.03255658
52	2.633559968
38	4.823437448
33	3.460495139
39	3.071012895
47	2.154878649
31	2.096527904
83	2.192170881
54	2.358875382
39	2.90950593
45	2.26783646
59	2.453203711
68	1.550064609
37	0.891604983
47	0.597347058
28	1.788141098
39	1.690934816
37	2.720804836
41	2.354487235
49	2.32397206
61	1.610377558
46	1.646995187
41	2.486836192
45	1.890487623
55	1.989814319
41	1.320850146
47	1.529446952
49	1.87510465
58	0.653197502
35	1.931816877
20	3.695942168
41	1.384061656
74	1.932777106
50	4.001779071
