Age	Expression
74	0.121845436
65	1.915818798
55	4.192869895
57	4.477527554
33	1.120249726
58	0.659929794
57	0.270629057
67	2.030603098
66	0.120730441
55	0.964272251
63	0.546782895
54	3.235721049
80	2.46330211
52	0.469887084
36	3.115108942
29	3.166994328
58	0.947904544
55	0.414111168
49	3.494216558
54	1.022686445
38	3.089127518
79	0.264812246
34	0.240312129
79	2.12811266
32	1.355860449
32	2.504087762
46	0.073005285
70	0.1892513
56	1.303574378
30	3.482937878
30	3.349468394
42	0.672168658
77	1.916486815
29	1.7354583
51	0.700234123
64	1.162230031
69	1.52929504
51	0.461893729
52	0.445364588
78	0.815433538
36	1.911252495
46	0.633270474
59	0.849421591
48	0.458267102
45	0.181945483
51	1.658419075
39	1.763807588
33	0.482026734
47	0.454103103
51	0.737828231
30	2.94885081
28	0.605634057
31	0.183701727
51	0.986261918
41	2.257689695
27	1.278017405
34	0.880300149
37	0.330194989
32	3.004958217
65	2.341196459
30	2.165493968
60	0.772213901
44	2.97158845
49	0.998841034
61	0.638722489
28	0.980017008
52	0.017310003
79	1.025769021
43	0.937021786
71	0.609514451
34	0.451808199
58	0.73869854
36	0.85423466
85	0.114280661
28	0.530466042
56	0.397771224
52	2.047937709
50	0.333338312
19	0.919818857
37	2.964996622
60	0.514033942
21	2.677324535
45	0.15710037
51	0.043020962
20	1.239489743
62	0.403139422
61	0.437778891
62	3.111613695
58	0.782389366
63	1.382350495
70	0.923634345
42	0.282021439
42	3.593896545
69	1.401734356
43	0.394123991
70	2.204000493
54	1.431774447
47	0.778964069
26	2.422958968
27	0.068723375
40	1.270815099
70	0.724655196
52	0.812011169
53	2.903922317
65	1.409927066
55	0.54050484
46	2.330803994
63	0.235550474
57	1.436982448
44	1.070888438
57	0.149647162
61	1.256781444
53	2.743012636
51	2.741384607
38	4.07823628
52	1.642721869
47	0
65	0.438631596
56	0.59386132
53	2.905089302
70	0.03507
35	0.133456009
45	1.49194536
51	1.027991565
63	0.283008134
38	5.338928288
45	0.796046097
51	2.024934743
37	2.015144469
43	1.818585486
49	1.955947326
18	3.712432829
50	0.941622779
46	1.821223649
32	0.432942646
70	1.829283206
56	0.214633552
44	1.932751393
57	1.602212005
60	0.71697262
76	0.062889616
54	1.628461479
44	1.197273911
28	0.513554218
50	2.07170755
39	0.837641605
52	1.886801026
32	0.923983193
50	0.683755409
60	0.440545039
40	0.097964312
22	1.278577785
38	1.63551184
68	3.088035575
68	0.319721481
15	2.24787143
60	0.832103269
36	1.736491142
32	0.852940536
34	1.514644789
36	1.139423539
38	1.278054306
48	1.852758107
55	2.523024428
23	4.195751316
30	2.8986693
49	2.249310199
37	0.21143179
55	1.150856894
34	2.995742412
46	1.876037971
34	0.343463646
49	1.489731696
57	1.180045145
56	0.219159595
52	1.921860515
18	1.805849088
57	0.920491209
38	1.940911389
45	1.599900168
39	1.273052557
51	1.636805864
38	0.391348413
75	0.138568754
30	1.977672496
57	3.761552234
25	0.20648829
