NORMAL	CANCER
0.074617	0.439898
0.082337	0.440423
0.083483	0.441238
0.091111	0.443437
0.094738	0.444924
0.100332	0.44678
0.103865	0.446828
0.106129	0.446971
0.112304	0.446974
0.112679	0.447247
0.113697	0.447493
0.116126	0.448465
0.117829	0.448778
0.11801	0.44944
0.122618	0.449807
0.124139	0.450003
0.125413	0.450339
0.128702	0.451688
0.129358	0.451864
0.131012	0.454342
0.131046	0.455483
0.134412	0.457083
0.135789	0.457758
0.139157	0.458192
0.139771	0.458404
0.140362	0.458744
0.140555	0.458765
0.14092	0.458852
0.142157	0.459463
0.143171	0.461051
0.143457	0.461161
0.144855	0.462702
0.145658	0.463223
0.146211	0.463275
0.14912	0.463628
0.1495	0.464631
0.151304	0.465155
0.151637	0.465712
0.152537	0.466883
0.152792	0.467517
0.153247	0.468171
0.153379	0.468603
0.153835	0.469366
0.154271	0.471029
0.154406	0.471039
0.154733	0.472203
0.155253	0.472825
0.156188	0.473036
0.157402	0.473698
0.158335	0.473943
0.159974	0.475827
0.161779	0.477968
0.162112	0.478316
0.162113	0.478392
0.162291	0.480412
0.162322	0.480481
0.163557	0.481273
0.163978	0.481384
0.164152	0.482065
0.165032	0.482523
0.165803	0.48337
0.165885	0.483533
0.167812	0.484283
0.168511	0.484383
0.168787	0.484526
0.168924	0.485332
0.169525	0.486206
0.169803	0.48661
0.171114	0.487236
0.172612	0.487427
0.173059	0.48758
0.173566	0.488704
0.174509	0.488716
0.174629	0.488932
0.17469	0.489435
0.174854	0.489929
0.175406	0.490647
0.178033	0.490801
0.178715	0.491245
0.178831	0.491419
0.179177	0.492102
0.179229	0.492591
0.17968	0.495102
0.179934	0.495229
0.180183	0.495303
0.180254	0.495503
0.181119	0.496746
0.182547	0.497848
0.182808	0.498362
0.182984	0.499886
0.183401	0.500017
0.183887	0.500061
0.184223	0.500131
0.1844	0.500679
0.184494	0.500906
0.184706	0.501428
0.184895	0.50171
0.185951	0.502507
0.186603	0.503226
0.186615	0.504422
0.187419	0.504469
0.187843	0.505209
0.188725	0.505259
0.189137	0.50643
0.189646	0.506642
0.189709	0.507224
0.190275	0.507404
0.190452	0.509781
0.191149	0.509841
0.191314	0.510572
0.191693	0.511841
0.1919	0.512005
0.192548	0.514147
0.192566	0.51433
0.192855	0.51447
0.192876	0.515179
0.193162	0.515728
0.193177	0.515728
0.193449	0.516189
0.19394	0.516652
0.194004	0.51674
0.194445	0.517278
0.194657	0.517749
0.194944	0.517943
0.195349	0.5181
0.195379	0.518804
0.195412	0.519455
0.195865	0.519706
0.196325	0.520231
0.196452	0.523204
0.196603	0.523395
0.196832	0.523509
0.196907	0.524061
0.197135	0.524522
0.197509	0.52712
0.197662	0.52758
0.197842	0.527761
0.197941	0.528621
0.19916	0.52889
0.200137	0.529571
0.200274	0.529842
0.200402	0.530187
0.200435	0.530403
0.200693	0.532033
0.201596	0.532321
0.201802	0.53283
0.2021	0.533078
0.202453	0.53361
0.202506	0.533906
0.202849	0.53461
0.202987	0.534616
0.203025	0.53514
0.20306	0.535434
0.203275	0.535718
0.203527	0.536171
0.204116	0.536476
0.204539	0.536765
0.204656	0.5376
0.204674	0.538588
0.204775	0.539773
0.204826	0.540366
0.205127	0.540448
0.205539	0.542292
0.205617	0.542298
0.205691	0.542495
0.205701	0.543434
0.206473	0.543481
0.206628	0.543805
0.20664	0.544497
0.206767	0.545029
0.206931	0.54503
0.207092	0.545183
0.207265	0.54523
0.207553	0.545571
0.207666	0.546767
0.207868	0.546941
0.208097	0.547109
0.208122	0.547381
0.208551	0.54879
0.20863	0.54889
0.208899	0.549585
0.208936	0.549819
0.208952	0.550214
0.208972	0.550622
0.209499	0.550728
0.209693	0.55147
0.210444	0.551563
0.210469	0.552246
0.210677	0.552599
0.211137	0.552688
0.211379	0.552829
0.211602	0.553566
0.212324	0.55385
0.212416	0.554
0.212637	0.554697
0.212656	0.555262
0.212699	0.555279
0.213578	0.556129
0.213882	0.556722
0.214024	0.55684
